## temp 24
2026-07-13T22:01:39.211254+00:00 22830 C:\Users\theai\AppData\Local\Temp\164e7e66-e954-47cd-948b-c48f3d87b8a0.tmp | e6
2026-07-13T22:01:04.574108+00:00 0 C:\Users\theai\AppData\Local\Temp\833b73fa-a239-42b8-ae40-2aee67a8f28c.tmp | e6
2026-07-13T22:00:23.053159+00:00 4573452 C:\Users\theai\AppData\Local\Temp\02dfe220-71e4-4cfe-805f-e6f74f076b04.tmp | e6
2026-07-13T21:46:59.939460+00:00 0 C:\Users\theai\AppData\Local\Temp\dcedb75d-2798-47e6-ab69-5d7b66c6913f.tmp | e6
2026-07-13T14:45:31.505111+00:00 326 C:\Users\theai\AppData\Local\Temp\codex-review-objects-b6eb12a5-a56c-464a-859e-72e3a4a345c8\95\59c92c15a2652e6952e44357d1612840cfdd6a | e6
2026-07-13T14:39:48.768378+00:00 74363 C:\Users\theai\AppData\Local\Temp\hermes-pdg2026-ckm.txt | neutrino
2026-07-13T14:13:47.643426+00:00 105117 C:\Users\theai\AppData\Local\Temp\hermes-fts-higgs-audit\haber-oneil.txt | λ6
2026-07-13T14:13:47.473321+00:00 25873 C:\Users\theai\AppData\Local\Temp\hermes-fts-higgs-audit\e6-model.txt | e6,ew vev,f1y351,f3y351,mdoublets,neutrino,y351,λ6
2026-07-13T14:13:47.423607+00:00 440284 C:\Users\theai\AppData\Local\Temp\hermes-fts-higgs-audit\2hdm-review.txt | neutrino,λ6
2026-07-13T14:13:46.819191+00:00 82794 C:\Users\theai\AppData\Local\Temp\hermes-fts-higgs-audit\e6-model.pdf | e6
2026-07-13T12:49:05.538628+00:00 18486 C:\Users\theai\AppData\Local\Temp\hermes-theorem.txt | e6
2026-07-13T11:27:41.911742+00:00 2141 C:\Users\theai\AppData\Local\Temp\vscode-inno-updater-1783942061.log | e6
2026-07-12T23:50:35.091464+00:00 0 C:\Users\theai\AppData\Local\Temp\a67cd9f2-c445-43e7-9fc2-0332a5af1e66.tmp | e6
2026-07-12T23:42:31.857290+00:00 3371 C:\Users\theai\AppData\Local\Temp\dd_BackgroundDownload_20260713094227.log | e6
2026-07-12T19:15:49.485470+00:00 3370 C:\Users\theai\AppData\Local\Temp\dd_BackgroundDownload_20260713051544.log | e6
2026-07-12T18:57:17.582561+00:00 25966 C:\Users\theai\AppData\Local\Temp\hermes-connelly.txt | e6
2026-07-12T18:57:17.194731+00:00 21418 C:\Users\theai\AppData\Local\Temp\hermes-paper.txt | e6
2026-07-12T18:57:16.809516+00:00 21412 C:\Users\theai\AppData\Local\Temp\hermes-toee.txt | e6
2026-07-12T18:57:16.389230+00:00 18486 C:\Users\theai\AppData\Local\Temp\hermes-theroym.txt | e6
2026-07-11T03:46:58.052936+00:00 2141 C:\Users\theai\AppData\Local\Temp\vscode-inno-updater-1783741618.log | e6
2026-07-10T14:43:16.061397+00:00 326 C:\Users\theai\AppData\Local\Temp\codex-review-objects-06220319-03b8-4cd3-8a63-4d7bbf48e8e2\95\59c92c15a2652e6952e44357d1612840cfdd6a | e6
2026-07-10T12:58:58.139160+00:00 2141 C:\Users\theai\AppData\Local\Temp\vscode-inno-updater-1783688338.log | e6
2026-07-09T21:29:20.486214+00:00 463641 C:\Users\theai\AppData\Local\Temp\unleash-repo-schema-v1-codeium-language-server.json | e6
2026-07-09T13:37:41.480941+00:00 2372 C:\Users\theai\AppData\Local\Temp\node-compile-cache\v24.15.0-x64-cf738c9d\d21e673c | e6
## other_d_projects 5
2026-07-13T18:56:56.570960+00:00 14406 D:\Projects\ToE_21st_June_NEWEST\OCTONIONIC_MASS_HIERARCHY_WITHOUT_SPECTRAL_RIGIDITY.md | e6
2026-07-11T22:01:03.470373+00:00 14467 D:\Projects\ToE_21st_June_NEWEST\gate_c_fit_scan.py | neutrino
2026-07-10T09:36:36.675231+00:00 1042301 D:\Projects\Hyper_context\data\gpt2-tokenizer\vocab.json | e6,sterile
2026-07-09T00:41:46.751064+00:00 11423 D:\Projects\non_associative_ai_claude\EQUATIONS.md | e6
