charge_id,attempt_no,outcome
3,1,success
15,1,success
21,1,fail
31,1,fail
35,1,success
46,1,success
47,1,success
48,1,success
49,1,fail
50,1,success
51,1,success
52,1,success
54,1,success
55,1,fail
56,1,fail
57,1,fail
59,1,success
61,1,fail
62,1,fail
64,1,success
67,1,success
71,1,fail
75,1,success
78,1,success
79,1,fail
84,1,fail
97,1,success
106,1,fail
107,1,success
108,1,fail
109,1,success
110,1,success
113,1,fail
114,1,fail
115,1,success
116,1,fail
117,1,success
118,1,fail
119,1,fail
121,1,success
123,1,fail
128,1,fail
132,1,fail
157,1,fail
182,1,success
184,1,fail
188,1,fail
189,1,success
198,1,fail
200,1,success
203,1,success
233,1,success
237,1,fail
247,1,success
261,1,fail
286,1,success
292,1,fail
313,1,success
323,1,fail
326,1,success
331,1,success
340,1,fail
341,1,fail
342,1,fail
343,1,fail
344,1,success
346,1,fail
347,1,success
348,1,fail
349,1,fail
350,1,fail
351,1,fail
352,1,fail
353,1,fail
354,1,success
355,1,success
356,1,success
357,1,success
358,1,success
359,1,fail
360,1,success
361,1,success
364,1,success
377,1,fail
381,1,fail
389,1,fail
406,1,success
411,1,success
433,1,fail
435,1,success
441,1,fail
448,1,success
461,1,fail
466,1,fail
467,1,fail
470,1,success
472,1,fail
473,1,success
485,1,success
486,1,success
495,1,success
504,1,success
512,1,fail
513,1,success
514,1,success
518,1,success
532,1,success
534,1,fail
535,1,success
539,1,success
542,1,fail
555,1,success
558,1,success
577,1,success
578,1,success
580,1,success
589,1,success
598,1,fail
600,1,fail
638,1,fail
651,1,fail
666,1,fail
676,1,fail
678,1,fail
714,1,fail
721,1,success
737,1,success
746,1,success
750,1,success
753,1,fail
756,1,success
762,1,fail
767,1,fail
768,1,success
780,1,success
795,1,success
796,1,fail
799,1,success
800,1,success
801,1,success
803,1,success
804,1,fail
805,1,success
807,1,success
816,1,fail
817,1,success
819,1,success
825,1,success
833,1,success
837,1,success
838,1,success
841,1,fail
844,1,success
848,1,success
853,1,fail
854,1,fail
862,1,fail
865,1,success
866,1,success
869,1,fail
871,1,success
874,1,fail
876,1,success
878,1,fail
879,1,fail
890,1,success
894,1,success
896,1,success
898,1,success
900,1,fail
902,1,success
913,1,fail
914,1,success
915,1,success
917,1,fail
918,1,success
919,1,success
920,1,fail
924,1,success
931,1,fail
933,1,success
934,1,success
935,1,success
936,1,fail
937,1,fail
938,1,fail
939,1,success
940,1,success
947,1,fail
963,1,fail
969,1,fail
972,1,fail
974,1,fail
978,1,fail
982,1,success
986,1,fail
988,1,fail
989,1,success
990,1,fail
991,1,fail
992,1,fail
993,1,success
994,1,success
996,1,success
997,1,fail
1015,1,fail
1055,1,fail
1078,1,success
1083,1,success
1088,1,fail
1116,1,success
1147,1,fail
1148,1,fail
1151,1,fail
1154,1,success
1158,1,success
1159,1,fail
1160,1,success
1166,1,success
1169,1,success
1170,1,fail
1173,1,success
1176,1,success
1178,1,fail
1182,1,fail
1186,1,success
1188,1,fail
1193,1,success
1208,1,success
1210,1,fail
1211,1,success
1217,1,fail
1225,1,success
1241,1,success
1246,1,success
1252,1,fail
1264,1,fail
1282,1,fail
1289,1,success
1290,1,fail
1291,1,fail
1292,1,success
1293,1,success
1307,1,fail
1309,1,fail
1315,1,success
1321,1,fail
1329,1,fail
1335,1,success
1342,1,fail
1343,1,fail
1344,1,fail
1345,1,success
1354,1,success
1360,1,success
1366,1,fail
1367,1,success
1368,1,success
1370,1,success
1371,1,fail
1374,1,fail
1376,1,success
1377,1,success
1380,1,success
1382,1,fail
1389,1,success
1390,1,fail
1408,1,success
1426,1,fail
1435,1,success
1463,1,fail
1465,1,fail
1497,1,fail
1498,1,success
1502,1,fail
1512,1,fail
1546,1,success
1550,1,success
1553,1,fail
1554,1,fail
1555,1,success
1585,1,fail
1592,1,success
1593,1,success
1594,1,success
1595,1,fail
1596,1,fail
1598,1,success
1599,1,success
1601,1,success
1602,1,fail
1603,1,fail
1605,1,success
1606,1,success
1607,1,fail
1608,1,success
1609,1,fail
1611,1,fail
1612,1,fail
1614,1,fail
1615,1,success
1616,1,success
1617,1,success
1619,1,fail
1645,1,success
1646,1,fail
1655,1,fail
1687,1,success
1691,1,success
